Clinton's Big Economic Speech Will Go Heavy On Middle Class Wages,fear
Sudoku 3696 medium,neutral
#MeToo and McDonald＊s,neutral
These Pictures Show The Brave Men And Women Who Fought WWI,neutral
Oh Dear,surprise
Iraqis tout progress against ISIS as U.S. strikes continue,sadness
Edward Snowden says he laughed at Neil Patrick Harris' treason joke,sadness
"Jeb Bush Biggest Spender in Iowa: $2,674 Per Vote",neutral
IPSCO confirmed it is currently in discussions that could lead to a potential acquisition of the co,neutral
Michael Souter sex abuse trial: Ex-BBC man tried to 'flush out accusers',disgust
White Mountain National Forest has new supervisor,neutral
The Mad Search for Pro-Trump Columnists,neutral
"Despite Trump pledge, Fallin won't guarantee platform changes on abortion",disgust
Secrets of TV news: Confessions of an anchorman,surprise
Why It＊s So Hard to Process Jimmy Bennett＊s Allegations Against Asia Argento,anger
Kate and Gerry McCann 'horrified' by Clement Freud child abuse claims after it emerged he had a home in Praia da Luz and befriended them after Madeleine vanished,anger
This mesmerizing video shows how incredibly vast space really is,joy
'Lean on His Understanding': Sutherland Springs Pastor's Last Message to Congregation Before Shooting,sadness
The Battle of Midway at 75,surprise
Coming Home With the Info,neutral
What＊s on TV Sunday,joy
Military Contractor Orbital ATK to Restate Financials,fear
"Alexandria-Arlington community calendar, April 2-8, 2015",anger
Hypocritical NHL owners face players today,joy
Popular 'Cash Cab' series is set for reboot,surprise
PayPal takes its first step toward supporting Bitcoin,neutral
Santorum: Rand Paul's views like Obama's,neutral
Quincy church's Strawberry Festival ending after 120 years,anger
WINNING ARGUMENT NOW HAUNTING NHL,fear
Trigger-Happy North Korea Launches Another Ballistic Missile,fear
Trump admin planning to fly immigrants to U.S. cities away from the border,surprise
Best nonfiction 2004,surprise
Aim for victory,joy
"Lower-level Division I teams embrace, enjoy epic road trips",joy
Misogynists who hate misogynists: The bizarre ways rival anti-women groups feud with each other,surprise
That＊s One Way to Pass a Tax Hike,disgust
'Living fossil' in Yellowstone River needs help: Will $57M dam save sturgeon?,sadness
Strikes Still Get the Goods,surprise
"Giant pumpkin weighing 2,175 pounds sets California record",neutral
"Senate Unveils Rival Tax Bill, Setting Up Showdown With House",neutral
Israel: Palestinian prisoner fate depends on talks,fear
"What Stanley, washday, and log drives share",neutral
'Chip and pin' chaos forecast,sadness
"The Number of Children Without Vaccinations Has Skyrocketed Since 2001, New Reports Find",neutral
Os privilegiados est?o preparados para a verdadeira meritocracia?,neutral
"Jayme Closs: Investigators receive 1,000 tips on missing teen",sadness
The Note: Supreme Court showdown ,fear
The Democrats＊ Buffalo Billion Fraud and Bribery Scheme,anger
"Romney defends Massachusetts health care law, while bashing ObamaCare",disgust
John Nichols: Has Barack Obama Done Enough for Africa?,anger
"In Colorado, Obama slams Romney on immigration",anger
Beware: 8 Common Toxic Household Products That Will (Probably) Kill You,joy
Prefabs With a Modernist Sensibility,surprise
The War on AMLO,anger
Restaurant says it has footage of Picasso thief,neutral
Friend Turns On Senator In Corruption Case,anger
Dallas Cowboys Remain America＊s Favorite Football Team,joy
Stereotype or source of pride? 'Hillbilly' dialect makes comeback in Appalachia,neutral
The Only 3 Things to Do (Over and Over) to Make Your Brand Stand Out,neutral
Common Core Fight Shadows Presidential Campaign,disgust
Tech Is Trying to Rig Politics Completely,disgust
Natalia Vodianova To Star In 'Belle du Seigneur' With Jonathan Rhys Meyers,neutral
Committee Calls For Immediate Resignation Of IRS Chief,neutral
Study: Everything You Thought You Knew About US Poverty Could Be Wrong,surprise
"Trump blames Putin, Obama for 'Animal Assad,' tweets 'big price' after reports of Syrian chemical attack",disgust
Bush Rules Out a Brokered Candidacy,neutral
Pending ETF May Boost Silver,joy
Changing the game for global health care,neutral
Fresh weekend weather warnings for Scotland,disgust
"Bill Clinton Knocks Rick Perry on Israel Comments, Forgets His Own Past",disgust
Judge Andrew Napolitano Previews How A Democratic House Could Make Life Miserable For President Trump,sadness
Main Street Capital: What You Should Know Before It Reports Earnings,surprise
"Mueller, Barr, Giuliani, Comey and Kallstrom Once Fought Terror Together〞Now Trump Has Them Fight Each Other",sadness
VIDEO: Rupert Murdoch hit with paper plate covered with shaving cream during parliamentary hearing,fear
Former ＆Late Show＊ Host David Letterman Signs With Netflix,neutral
Manhunt in Missouri for Oklahoma pair after child found dead,sadness
Trump seeks to overhaul World Bank with David Malpass as new chief,joy
Germany＊s Cold Shoulder,sadness
KIN EVICTS 9/11 HERO＊S TEEN SON FROM HOME,sadness
