,headline,emotion
0,              ",neutral
1,              ",neutral
2," Discovers Word 'Torture' in Its Dictionary, Dusts It Off",fear
3," Discovers Word 'Torture' in Its Dictionary, Dusts It Off",neutral
4, Host Pat Sajak Backtracks From Climate-Change Tweet,anger
5, Host Pat Sajak Backtracks From Climate-Change Tweet,neutral
6,"""The Russians have made a serious mistake"": how Putin's Syria gambit will backfire",fear
7,"""The Russians have made a serious mistake"": how Putin's Syria gambit will backfire",fear
8,"""The first woman to be raped in space has probably already been born.""",surprise
9,"""The first woman to be raped in space has probably already been born.""",neutral
10,'American Idol': Highs and Lows of the Season So Far,neutral
11,'American Idol': Highs and Lows of the Season So Far,surprise
12,"'As I left the love of my life in a care home, I sobbed my heart out': John Suchet on his wife Bonnie's battle with Alzheimer's",sadness
13,"'As I left the love of my life in a care home, I sobbed my heart out': John Suchet on his wife Bonnie's battle with Alzheimer's",sadness
14,'Bachelorette' runner-up Peter Kraus calls his TV experience 'very special',neutral
15,'Bachelorette' runner-up Peter Kraus calls his TV experience 'very special',joy
16,'Could my daughter have been saved from bowel cancer?',sadness
17,'Could my daughter have been saved from bowel cancer?',fear
18,"'Donald, You Do Have Sin': Duck Dynasty Patriarch Shares the Gospel With President Trump",sadness
19,"'Donald, You Do Have Sin': Duck Dynasty Patriarch Shares the Gospel With President Trump",surprise
20,'Enemy Of The People': Man Echoing Trump's Words Charged With Threatening Newspaper,neutral
21,'Enemy Of The People': Man Echoing Trump's Words Charged With Threatening Newspaper,neutral
22,'Green New Deal' lands in the Capitol,anger
23,'Green New Deal' lands in the Capitol,surprise
24,'Murder on Music Row' up for two country music awards,neutral
25,'Murder on Music Row' up for two country music awards,surprise
26,'Nation-Building' Neglects Health,disgust
27,'Nation-Building' Neglects Health,anger
28,'Presidents Are Not Kings': Judge Orders Trump Lawyer Don McGahn To Testify Before Congress,anger
29,'Presidents Are Not Kings': Judge Orders Trump Lawyer Don McGahn To Testify Before Congress,surprise
30,'Secret Agent' Patrick McGoohan Dies At 80,sadness
31,'Secret Agent' Patrick McGoohan Dies At 80,sadness
32,'Selling Baby Parts Like Widgets on an Assembly Line': Pro-Lifers Blast P. Parenthood,anger
33,'Selling Baby Parts Like Widgets on an Assembly Line': Pro-Lifers Blast P. Parenthood,disgust
34,'Soul Fuel': Finding Faith for Life's Journey in the Simplicity of Christ's Love,joy
35,'Soul Fuel': Finding Faith for Life's Journey in the Simplicity of Christ's Love,joy
