,headline,sentiment
0,"""I don't believe you. You're a liar!""",-1
1,"""I don't believe you. You're a liar!""",-1
2,'Living fossil' in Yellowstone River needs help: Will $57M dam save sturgeon?,-1
3,'Living fossil' in Yellowstone River needs help: Will $57M dam save sturgeon?,-1
4,'Vengeance Weapon': The Deadly Nuclear Accident and Russia's Plan to Surpass US Nuke Tech,-1
5,'Vengeance Weapon': The Deadly Nuclear Accident and Russia's Plan to Surpass US Nuke Tech,-1
6,2006 in review: architecture,1
7,2006 in review: architecture,1
8,"Amiibo, Disney Infinity, Skylanders, Lego Dimensions: A Guide to Gaming Toys",1
9,"Amiibo, Disney Infinity, Skylanders, Lego Dimensions: A Guide to Gaming Toys",1
10,Another Shot at Life from the Obama Administration,1
11,Another Shot at Life from the Obama Administration,1
12,Art of Protest,1
13,Art of Protest,-1
14,Bubble Economics,1
15,Bubble Economics,1
16,CNN Poll: Good News for Herman Cain and¡­ uh¡­ Rudy Giuliani,1
17,CNN Poll: Good News for Herman Cain and¡­ uh¡­ Rudy Giuliani,1
18,China¡¯s statistics are bad. Many criticisms of them are worse,-1
19,China¡¯s statistics are bad. Many criticisms of them are worse,-1
20,"Cop Breaks 17-Year-Old Girl's Jaw at Library, Lawsuit Alleges",1
21,"Cop Breaks 17-Year-Old Girl's Jaw at Library, Lawsuit Alleges",-1
22,Cornered Rats,-1
23,Cornered Rats,-1
24,Does Washington Want to Lose Little or Bigly in the Mideast?,-1
25,Does Washington Want to Lose Little or Bigly in the Mideast?,-1
26,Ex-Ky sheriff admits to kickbacks; faces prison,-1
27,Ex-Ky sheriff admits to kickbacks; faces prison,-1
28,Fairfax bridge troubles highlight larger road issues,-1
29,Fairfax bridge troubles highlight larger road issues,-1
30,Fatherhood After 40? It's Becoming A Lot More Common,1
31,Fatherhood After 40? It's Becoming A Lot More Common,1
32,"Hoffman scores in OT, Senators edge Stars 3-2 for 3rd in row",1
33,"Hoffman scores in OT, Senators edge Stars 3-2 for 3rd in row",1
34,"Hope Hicks, one of Trump¡¯s closest aides, is resigning",1
35,"Hope Hicks, one of Trump¡¯s closest aides, is resigning",-1
36,How The 'Scarcity Mindset' Can Make Problems Worse,-1
37,How The 'Scarcity Mindset' Can Make Problems Worse,-1
38,"Instead of investing money into police departments, let's put it toward communities",1
39,"Instead of investing money into police departments, let's put it toward communities",1
40,Iraqis tout progress against ISIS as U.S. strikes continue,1
41,Iraqis tout progress against ISIS as U.S. strikes continue,1
42,"Jimmy Fallon, Donald Trump Mess Up the Hairpiece Myth",1
43,"Jimmy Fallon, Donald Trump Mess Up the Hairpiece Myth",-1
44,Judge reconsiders some sentences in 1995 Roanoke firebombing,1
45,Judge reconsiders some sentences in 1995 Roanoke firebombing,1
46,Key questions de Blasio won¡¯t answer,-1
47,Key questions de Blasio won¡¯t answer,-1
48,Liberalism in Theory and Practice,1
49,Liberalism in Theory and Practice,-1
50,Liberals Furious After Obama Praises Billy Graham,-1
51,Liberals Furious After Obama Praises Billy Graham,-1
52,Mark Carney warns of consumer slowdown this year,-1
53,Mark Carney warns of consumer slowdown this year,-1
54,Massive 706-carat diamond unearthed in Sierra Leone ,1
55,Massive 706-carat diamond unearthed in Sierra Leone ,1
56,Meet The Grammy-Nominated Singer Reclaiming Folk Music's Black History,1
57,Meet The Grammy-Nominated Singer Reclaiming Folk Music's Black History,1
58,Met chief apologises for officer's unlawful use of CS spray on protesters,-1
59,Met chief apologises for officer's unlawful use of CS spray on protesters,-1
60,Mortgage lending in Scotland 'rises sharply',-1
